Drug,Winter,Spring,Summer,Autumn,Monsoon
Paracetamol,500,520,480,510,530
Ibuprofen,300,320,290,310,330
Aspirin,250,270,240,260,280
Cetirizine,180,190,170,185,200
Amoxicillin,450,470,440,460,480
Azithromycin,500,520,480,510,530
Metformin,400,420,380,410,430
Amlodipine,350,370,340,360,380
Atorvastatin,600,620,580,610,630
Omeprazole,250,270,240,260,280
Losartan,300,320,290,310,330
Levothyroxine,400,420,380,410,430
Clopidogrel,200,220,190,210,230
Doxycycline,150,170,140,160,180
Lisinopril,250,270,240,260,280
Metoprolol,300,320,290,310,330
Simvastatin,200,220,190,210,230
Pantoprazole,250,270,240,260,280
Albuterol,400,420,380,410,430
Prednisone,150,170,140,160,180
Furosemide,300,320,290,310,330
Gabapentin,200,220,190,210,230
Hydrochlorothiazide,250,270,240,260,280
Tramadol,150,170,140,160,180
Zolpidem,100,120,90,110,130
Sertraline,250,270,240,260,280
Citalopram,200,220,190,210,230
Escitalopram,150,170,140,160,180
Tamsulosin,200,220,190,210,230
Warfarin,250,270,240,260,280
Ranitidine,150,170,140,160,180
Ciprofloxacin,300,320,290,310,330
Hydrocodone,400,420,380,410,430
Loratadine,150,170,140,160,180
Diclofenac,250,270,240,260,280
Nitroglycerin,200,220,190,210,230
Montelukast,150,170,140,160,180
Cyclobenzaprine,100,120,90,110,130
Alprazolam,200,220,190,210,230
Lisinopril-HCTZ,300,320,290,310,330
Glipizide,400,420,380,410,430
Rosuvastatin,250,270,240,260,280
Propranolol,200,220,190,210,230
Diazepam,150,170,140,160,180
Fluoxetine,250,270,240,260,280
Lamotrigine,300,320,290,310,330
Famotidine,400,420,380,410,430
Gabapentin,250,270,240,260,280
